ano,cpb,titulo,direcao,genero,produtora_maj,produtora_min,distribuidora,uf_bruto,uf2_bruto,max_salas,publico,renda_corrente,uf_maj,n_ufs,coproducao,decada,filmes_diretor_antes,filmes_distribuidora_antes,filmes_produtora_antes,estreia_do_diretor,experiencia_da_direcao,porte_da_distribuidora,contratos_fsa,projetos_incentivo,recebeu_fsa,recebeu_incentivo,origem_do_fomento,deflator,renda_deflacionada_2024,populacao_br,filmes_no_ano,sucesso_global,mediana_publico_do_ano,sucesso_no_ano
1995,B0400064200000,A Causa Secreta,Sérgio Bianchi,Ficção,Agravo Produções Cinematográficas,,Riofilme,SP,,,3000,15000.0,SP,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,91382.36948949253,,14,1,14230.5,0
1995,B0500310700000,"Carlota Joaquina, Princesa Do Brazil",Carla Camurati,Ficção,Copacabana Filmes E Produções,,Elimar,RJ,,33,1286000,6430000.0,RJ,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,39172575.72116246,,14,1,14230.5,1
1995,B0500264600000,Carmen Miranda - Bananas Is My Business,Helena Solberg,Documentário,Radiante Filmes,,Riofilme,RJ,,,15470,90000.0,RJ,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,548294.2169369552,,14,1,14230.5,1
1995,,Cinema De Lágrimas,Nelson Pereira Dos Santos,Ficção,Meta Vídeo Produções,,Riofilme,RJ,,,1575,7500.0,RJ,1.0,0,1990,0,0,0,1,estreante,nova,,,,,,6.092157965966169,45691.184744746264,,14,0,14230.5,0
1995,B0300012900000,Efeito Ilha,Luiz Alberto Pereira,Ficção,Lapfilme,,Riofilme,SP,,,3000,15000.0,SP,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,91382.36948949253,,14,1,14230.5,0
1995,B0500311400000,Louco Por Cinema,André Luiz Oliveira,Ficção,Asacine Produções,,Riofilme,DF,,,12991,60000.0,DF,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,365529.4779579701,,14,1,14230.5,0
1995,B0700675000000,Menino Maluquinho - O Filme,Helvécio Ratton,Ficção,Grupo Novo De Cinema E Tv,,S. Ribeiro/Riofilme,RJ,,32,397072,1533032.8,RJ,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,9339477.98460742,,14,1,14230.5,1
1995,B1101392800000,O Mandarim,Julio Bressane,Ficção,Julio Bressane,,Riofilme,RJ,,,7616,35000.0,RJ,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,213225.5288088159,,14,1,14230.5,0
1995,B0500309200000,O Quatrilho,Fábio Barreto,Ficção,Filmes Do Equador,,S. Ribeiro,RJ,,64,1117154,4513302.0,RJ,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,27495748.73211104,,14,1,14230.5,1
1995,B0500434300000,Perfume De Gardênia,Guilherme De Almeida Prado,Ficção,Star Filmes,,Riofilme,SP,,,9077,55000.0,SP,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,335068.6881281393,,14,1,14230.5,0
1995,,Super Colosso,Luiz Ferré,Ficção,Play Vídeo Produções Para Cinema E Televisão,,Paris,SP,,216,154762,506027.0,SP,1.0,0,1990,0,0,0,1,estreante,nova,,,,,,6.092157965966169,3082796.4190439624,,14,1,14230.5,1
1995,B0500277600000,Sábado,Ugo Giorgetti,Ficção,Iguana Filmes,,Mais Filmes,SP,,,155000,906750.0,SP,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,5524064.235639824,,14,1,14230.5,1
1995,B0500310300000,Terra Estrangeira,Daniela Thomas/Walter Salles,Ficção,Videofilmes,,Riofilme,RJ,,,112840,500000.0,RJ,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,3046078.9829830844,,14,1,14230.5,1
1995,B0400073200000,Yndio Do Brasil,Sylvio Back,Documentário,Usina De Kyno,,Riofilme,RJ,,,3000,15000.0,RJ,1.0,0,1990,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,6.092157965966169,91382.36948949253,,14,1,14230.5,0
1996,"B0400061500000/
B0400085400000/
B0400057300000/
B0400051000000",A Felicidade É...,José Roberto Torero/Cecílio Neto/Jorge Furtado/José Pedro Goulart,Ficção,Casa De Cinema De Porto Alegre/Superfilmes/Zeppelin Filmes,,Riofilme,RS/SP/RS,,,3000,15000.0,RS,2.0,0,1990,0,9,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,5.262865325451494,78942.97988177241,,18,1,14043.5,0
1996,B0400052400000,As Meninas,Emiliano Ribeiro,Ficção,Ipê Artes,,Riofilme,RJ,,3,13527,49957.0,RJ,1.0,0,1990,0,9,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,5.262865325451494,262916.9630635803,,18,1,14043.5,0
1996,,Cassiopéia,Clóvis Vieira,Animação,N.D.R. Filmes Produções,,Riofilme,SP,,34,14224,60359.0,SP,1.0,0,1990,0,9,0,1,estreante,pequena,,,,,,5.262865325451494,317661.28817892674,,18,1,14043.5,1
1996,B0500289500000,Como Nascem Os Anjos,Murilo Salles,Ficção,Cinema Brasil Digital,,Riofilme,RJ,,2,41945,200000.0,RJ,1.0,0,1990,0,9,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,5.262865325451494,1052573.065090299,,18,1,14043.5,1
1996,B0500310500000,Corisco E Dadá,Rosemberg Cariry,Ficção,Cariri Filmes,,Riofilme,CE,,,13863,62904.7,CE,1.0,0,1990,0,9,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,5.262865325451494,331058.9644379286,,18,1,14043.5,0
1996,B0500311200000,Doces Poderes,Lucia Murat,Ficção,Taiga Filmes E Vídeo,,Riofilme,RJ,,,13809,60000.0,RJ,1.0,0,1990,0,9,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,5.262865325451494,315771.91952708963,,18,1,14043.5,0
1996,B0700789100000,Fica Comigo,Tizuka Yamasaki,Ficção,Ponto Filmes/Quanta-Rio/Scena Filmes/Skylight,,Riofilme,RJ/RJ/RJ/RJ,,,2866,13000.0,RJ,1.0,0,1990,0,9,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,5.262865325451494,68417.24923086942,,18,1,14043.5,0
1996,B0500298800000,Jenipapo,Monique Gardenberg,Ficção,Dueto Filmes,,Riofilme,RJ,,,72133,350000.0,RJ,1.0,0,1990,0,9,0,1,estreante,pequena,0.0,1.0,0.0,1.0,só incentivo,5.262865325451494,1842002.8639080229,,18,1,14043.5,1
1996,,Mil E Uma,Suzana De Moraes,Ficção,1001 Filmes,,Riofilme,RJ,,,2403,12000.0,RJ,1.0,0,1990,0,9,0,1,estreante,pequena,,,,,,5.262865325451494,63154.383905417926,,18,0,14043.5,0
1996,B0600547500000,O Cego Que Gritava Luz,João Batista De Andrade,Ficção,Raiz Produções,,Riofilme,SP,,,1647,8500.0,SP,1.0,0,1990,0,9,0,1,estreante,pequena,0.0,1.0,0.0,1.0,só incentivo,5.262865325451494,44734.3552663377,,18,0,14043.5,0
1996,B0500255000000,O Corpo,José Antônio Garcia,Ficção,Olympus Filme,,Riofilme,SP,,,26984,120000.0,SP,1.0,0,1990,0,9,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,5.262865325451494,631543.8390541793,,18,1,14043.5,1
1996,B0400090100000,O Guarani,Norma Bengell,Ficção,Nb Produções,,Riofilme,RJ,,,26190,120000.0,RJ,1.0,0,1990,0,9,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,5.262865325451494,631543.8390541793,,18,1,14043.5,1
1996,B0400102700000,O Judeu,Jom Tob Azulay,Ficção,Aeb Produçôes/Tatu Filmes,,Riofilme,RJ/SP,,1,11817,62630.0,RJ,2.0,0,1990,0,9,0,1,estreante,pequena,0.0,1.0,0.0,1.0,só incentivo,5.262865325451494,329613.25533302705,,18,1,14043.5,0
1996,B0700798500000,O Monge E A Filha Do Carrasco,Walter Lima Junior,Ficção,Jbr Filmes,,Riofilme,RJ,,9,16824,72173.0,RJ,1.0,0,1990,0,9,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,5.262865325451494,379836.77913381066,,18,1,14043.5,1
