estatistica,valor
n,2604.0
media,148399.06029185868
mediana,2806.0
media/mediana,52.88633652596532
desvio,685961.0404057854
assimetria,10.037584448360638
curtose,135.2474137423343
gini,0.9223457620602836
maximo/mediana,4342.2569493941555
P10,150.0
P25,542.25
P50,2806.0
P75,22747.25
P90,206365.50000000017
P95,672671.6999999996
P99,2995627.8399999943
% do publico no top 1%,36.17512302378996
% do publico no top 5%,77.3856234618848
% do publico no top 10%,90.72549463940346
% do publico no top 20%,97.22653882410977
% do publico na metade inferior,0.27603054042591646
