ano,n_filmes,mediana,ic95_inferior,ic95_superior,largura_relativa,filmes_indeterminados,%_indeterminados
1995,14,14230.5,5308.0,155000.0,10.519096307227434,7,50.0
1996,18,14043.5,7408.5,29205.0,1.5520703528322712,8,44.44444444444444
1997,21,73062.0,11874.0,131000.0,1.6304782239741589,9,42.857142857142854
1998,23,37572.0,8197.0,62604.0,1.4480730331097627,11,47.82608695652174
1999,28,21812.0,8248.0,51076.0,1.9635063267925912,10,35.714285714285715
2000,23,24431.0,10269.775,46646.0,1.4889372109205516,9,39.130434782608695
2001,30,44248.0,14221.5,201495.5,4.232372084613994,10,33.33333333333333
2002,29,15295.0,7683.0,68487.0,3.975416802876757,11,37.93103448275862
2003,30,106579.0,57066.5,440066.22499999823,3.5935758920612715,10,33.33333333333333
2004,48,25336.5,13456.0,50958.0,1.4801570856274544,14,29.166666666666668
2005,45,17289.0,7247.0,32937.94999999959,1.485970848516374,14,31.11111111111111
2006,68,9443.5,4770.5,20827.0,1.7002700270027002,16,23.52941176470588
2007,75,13334.0,5481.0,24625.0,1.4357282135893206,17,22.666666666666664
2008,77,7279.0,3917.0,20367.0,2.2599258139854377,18,23.376623376623375
2009,82,5427.0,2834.9,13301.5,1.9286161783674223,17,20.73170731707317
2010,73,7431.0,3572.0,22754.0,2.581348405329027,17,23.28767123287671
2011,98,4048.5,2034.0,7618.0,1.379276275163641,20,20.408163265306122
2012,80,5867.5,2774.3875,12205.57499999998,1.6073604601619058,17,21.25
2013,127,2376.0,1646.0,3708.0,0.8678451178451179,23,18.11023622047244
2014,112,4814.5,2798.0,7969.312499999993,1.0741120573268237,22,19.642857142857142
2015,133,2440.0,1674.0,3633.0,0.8028688524590164,23,17.293233082706767
2016,142,3377.0,2288.0,5900.5,1.0697364524726087,23,16.19718309859155
2017,160,2686.0,1671.5,4596.5,1.0889798957557706,24,15.0
2018,182,2500.5,1669.0,3195.0,0.6102779444111178,27,14.835164835164836
2019,167,1715.0,1335.0,2333.0,0.5819241982507288,26,15.568862275449103
2020,59,198.0,141.0,304.0,0.8232323232323232,15,25.423728813559322
2021,129,267.0,216.0,457.0,0.9026217228464419,23,17.829457364341085
2022,173,535.0,426.0,739.0,0.5850467289719626,27,15.606936416184972
2023,161,802.0,531.0,1552.0,1.273067331670823,26,16.149068322981368
2024,197,933.0,738.975,1313.7249999999906,0.6160235798499363,27,13.705583756345177
