definicao,positivos,negativos,%_positivos,publico_minimo_de_um_sucesso,publico_mediano_dos_sucessos,kappa_vs_global_P50,kappa_vs_ano_P50,%_que_muda_vs_global_P50,%_que_muda_vs_ano_P50
global_P50,1302,1302,50.0,2807.0,22749.5,1.0,0.6789554531490015,0.0,16.052227342549923
global_P75,651,1953,25.0,22754.0,131220.0,0.5,0.4768875192604006,25.0,26.0752688172043
global_P80,521,2083,20.00768049155146,38957.0,206568.0,0.4001536098310292,0.39022567787437923,29.99231950844854,30.376344086021508
global_P90,261,2343,10.023041474654377,206568.0,673269.0,0.20046082949308752,0.20268828295618635,39.97695852534562,39.66973886328725
ano_P50,1294,1310,49.69278033794163,218.0,21775.5,0.6789554531490015,1.0,16.052227342549923,0.0
ano_P75,654,1950,25.115207373271893,589.0,114974.5,0.47619047619047616,0.5069407462633579,26.190476190476193,24.577572964669738
ano_P90,271,2333,10.407066052227343,6670.0,560127.0,0.20814132104454686,0.21044413725076405,39.59293394777266,39.285714285714285
anoANTERIOR_P50,1276,1314,49.26640926640927,199.0,21079.0,0.6362687107425498,0.8154272863836438,18.185328185328185,9.227799227799228
anoANTERIOR_P75,654,1936,25.25096525096525,584.0,113795.0,0.44970322960065845,0.5050502513013662,27.45173745173745,24.67181467181467
janela5a_P75,646,1958,24.807987711213517,3311.0,127792.0,0.4961597542242704,0.5007585996321797,25.19201228878648,24.88479262672811
abs_50k,477,2127,18.317972350230416,50000.0,256046.0,0.3663594470046083,0.3592565219554139,31.682027649769584,31.912442396313363
abs_100k,358,2246,13.748079877112135,102171.0,424353.0,0.2749615975422427,0.2763460713464624,36.25192012288787,36.02150537634409
abs_500k,163,2441,6.259600614439324,505352.0,1320102.0,0.12519201228878651,0.12664196259753313,43.74039938556067,43.4331797235023
percapita_P50,997,998,49.97493734335839,2608.0,21696.0,0.9829573806375944,0.7092725255375858,0.8521303258145364,14.536340852130325
percapita_P90,200,1795,10.025062656641603,214830.0,761787.0,0.20104446523983455,0.20213482211076572,39.899749373433586,39.74937343358396
fatia_10pct_do_ano,87,2517,3.3410138248847927,20499.0,2219423.0,0.06682027649769584,0.06761855941676109,46.65898617511521,46.35176651305684
